timestamp,action,symbol,quantity,price,value,cash_after_trade,portfolio_value,profit_loss,profit_loss_pct,reason
2025-06-07 10:21:21.509300,BUY,RELIANCE,10,2500.5,25005.0,74995.0,100000.0,0.0,0.0,Test trade
2025-06-07 10:23:41.183242,BUY,ICICIBANK,134,1459.7,195599.8,804400.2,1000000.0,0.0,0.0,"Strong performer with 44.0% return, positive trend and healthy RSI"
2025-06-07 10:23:41.538770,BUY,TATASTEEL,1000,157.49,157490.0,646910.2,1000000.0,0.0,0.0,"Strong performer with 16.4% return, positive trend and healthy RSI"
2025-06-07 10:24:26.868589,BUY,RELIANCE,10,2500.5,25005.0,74995.0,100000.0,0.0,0.0,Test trade
2025-06-07 10:25:22.920917,BUY,RELIANCE,10,2500.5,25005.0,74995.0,100000.0,0.0,0.0,Test trade
2025-06-07 10:26:33.050215,BUY,RELIANCE,10,2500.5,25005.0,74995.0,100000.0,0.0,0.0,Test trade
2025-06-07 10:29:18.485203,BUY,POWERGRID,656,295.8,194044.8,452865.3999999999,1000000.0,0.0,0.0,"Strong performer with 13.7% return, positive trend and healthy RSI"
2025-06-07 10:29:27.608206,BUY,RELIANCE,10,2500.5,25005.0,74995.0,100000.0,0.0,0.0,Test trade
2025-06-07 10:45:00.634595,BUY,RELIANCE,10,2500.5,25005.0,74995.0,100000.0,0.0,0.0,Test trade
2025-06-08 18:29:29.541127,BUY,RELIANCE,10,2500.5,25005.0,74995.0,100000.0,0.0,0.0,Test trade
2025-06-10 14:24:33.081986,BUY,INFY,1,22.100000381469727,22.100000381469727,99977.89999961852,101575.29999961852,0.0,0.0,demo random buy
2025-06-10 14:29:49.616310,BUY,INFY,1,22.100000381469727,22.100000381469727,99955.79999923706,103149.99999923706,0.0,0.0,demo random buy
2025-06-10 14:35:05.841256,BUY,INFY,1,22.100000381469727,22.100000381469727,99933.6999988556,104731.59999885558,0.0,0.0,demo random buy
2025-06-10 14:40:21.912813,BUY,INFY,1,22.100000381469727,22.100000381469727,99911.59999847412,106309.99999847412,0.0,0.0,demo random buy
2025-06-10 14:45:36.265845,BUY,INFY,1,22.100000381469727,22.100000381469727,99889.49999809264,107874.49999809264,0.0,0.0,demo random buy
2025-06-10 14:50:51.627844,BUY,INFY,1,22.100000381469727,22.100000381469727,99867.39999771118,109456.59999771118,0.0,0.0,demo random buy
2025-06-10 14:56:12.504014,BUY,INFY,1,22.100000381469727,22.100000381469727,99845.29999732973,111030.59999732971,0.0,0.0,demo random buy
2025-06-10 15:01:27.348025,BUY,INFY,1,22.100000381469727,22.100000381469727,99823.19999694824,112609.59999694824,0.0,0.0,demo random buy
2025-06-10 15:06:44.719547,BUY,INFY,1,22.100000381469727,22.100000381469727,99801.09999656676,114158.79999656675,0.0,0.0,demo random buy
2025-06-10 15:11:59.064402,BUY,INFY,1,22.100000381469727,22.100000381469727,99778.9999961853,115726.9999961853,0.0,0.0,demo random buy
2025-06-10 15:17:15.274218,BUY,INFY,1,22.100000381469727,22.100000381469727,99756.89999580383,117297.49999580384,0.0,0.0,demo random buy
2025-06-10 15:21:54.045005,BUY,RELIANCE,10,2500.5,25005.0,74995.0,100000.0,0.0,0.0,Test trade
2025-06-10 15:22:36.179192,BUY,INFY,1,22.100000381469727,22.100000381469727,99734.79999542236,118887.99999542236,0.0,0.0,demo random buy
2025-06-11 10:52:16.363598,BUY,ADANIPORTS,1,1464.0,1464.0,98536.0,100000.0,0.0,0.0,demo random buy
2025-06-11 10:57:23.760488,BUY,ADANIPORTS,1,1466.5999755859375,1466.5999755859375,97069.40002441406,100002.60002441406,0.0,0.0,demo random buy
2025-06-11 10:59:39.984807,BUY,ADANIPORTS,1,1468.0,1468.0,98532.0,100000.0,0.0,0.0,demo random buy
2025-06-11 11:00:44.917949,BUY,ADANIPORTS,1,1468.0,1468.0,97064.0,100000.6,0.0,0.0,demo random buy
2025-06-11 11:01:50.225302,BUY,ADANIPORTS,1,1468.0,1468.0,95596.0,100000.0,0.0,0.0,demo random buy
